"taskid","k","n","time","heterogeneity","output_type","method","stage","replications_requested","files_present","readable","converged","admissible","successful","missing_file","unreadable_file","check_error","nonconvergence","inadmissible","convergence_rate","admissible_rate","success_rate"
30,2,200,100,0,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,4,4,4,0,0,0,6,0,0.4,0.4,0.4
31,2,50,200,0,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
31,2,50,200,0,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
31,2,50,200,0,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
31,2,50,200,0,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
31,2,50,200,0,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,7,7,7,0,0,0,3,0,0.7,0.7,0.7
31,2,50,200,0,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
31,2,50,200,0,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,7,7,7,0,0,0,3,0,0.7,0.7,0.7
32,2,100,200,0,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
32,2,100,200,0,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
32,2,100,200,0,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
32,2,100,200,0,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
32,2,100,200,0,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
32,2,100,200,0,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
32,2,100,200,0,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
33,2,200,200,0,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
33,2,200,200,0,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,9,9,0,0,0,0,1,1,0.9,0.9
33,2,200,200,0,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
33,2,200,200,0,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
33,2,200,200,0,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,1,1,1,0,0,0,9,0,0.1,0.1,0.1
33,2,200,200,0,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,9,9,0,0,0,0,1,1,0.9,0.9
33,2,200,200,0,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,1,1,1,0,0,0,9,0,0.1,0.1,0.1
34,2,50,,0,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
34,2,50,,0,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
34,2,50,,0,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
34,2,50,,0,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
34,2,50,,0,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,6,6,6,0,0,0,4,0,0.6,0.6,0.6
34,2,50,,0,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
34,2,50,,0,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,6,6,6,0,0,0,4,0,0.6,0.6,0.6
35,2,100,,0,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
35,2,100,,0,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
35,2,100,,0,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
35,2,100,,0,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
35,2,100,,0,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,8,8,8,0,0,0,2,0,0.8,0.8,0.8
35,2,100,,0,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
35,2,100,,0,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,8,8,8,0,0,0,2,0,0.8,0.8,0.8
36,2,200,,0,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
36,2,200,,0,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
36,2,200,,0,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
36,2,200,,0,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
36,2,200,,0,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,9,9,9,0,0,0,1,0,0.9,0.9,0.9
36,2,200,,0,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
36,2,200,,0,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,9,9,9,0,0,0,1,0,0.9,0.9,0.9
